seq,id,video_id,title,audio_path,duration_sec,start_sec,end_sec
1,107,LTFdwmRrjBY,Kargin Haghordum sketch 648 (Hayko Mko),data\audio\107_Kargin_Haghordum_sketch_648_Hayko_Mko_LTFdwmRrjBY.webm,386.361,0.0,386.361
2,241,Fyc5VWnAMog,Kargin Haghordum - Brnabarum hetenq berum (Hayko Mko),data\audio\241_Kargin_Haghordum_-_Brnabarum_hetenq_berum_Hayko_Mko_Fyc5VWnAMog.webm,1176.661,386.361,1563.022
3,273,mrIUW3fCUUo,Kargin Haghordum - Gomikavan (Hayko Mko),data\audio\273_Kargin_Haghordum_-_Gomikavan_Hayko_Mko_mrIUW3fCUUo.webm,1034.241,1563.022,2597.263
4,274,E0apclx3wqU,Kargin Haghordum sketch 227 (Hayko Mko),data\audio\274_Kargin_Haghordum_sketch_227_Hayko_Mko_E0apclx3wqU.webm,876.381,2597.263,3473.644
5,275,3UZOwmPovQ4,Kargin Haghordum sketch 228 (Hayko Mko),data\audio\275_Kargin_Haghordum_sketch_228_Hayko_Mko_3UZOwmPovQ4.webm,1067.221,3473.644,4540.865
6,277,L3CiQABljX8,Kargin Haghordum sketch 230 (Hayko Mko),data\audio\277_Kargin_Haghordum_sketch_230_Hayko_Mko_L3CiQABljX8.webm,565.501,4540.865,5106.366
