seq,id,video_id,title,audio_path,duration_sec,start_sec,end_sec
32,521,SyfTHFAZynE,Kargin Haghordum sketch 155 (Hayko Mko),data\audio\521_Kargin_Haghordum_sketch_155_Hayko_Mko_SyfTHFAZynE.webm,83.821,2642.942,2726.763
33,530,sOWmXDL8T68,Kargin Haghordum sketch 164 (Hayko Mko),data\audio\530_Kargin_Haghordum_sketch_164_Hayko_Mko_sOWmXDL8T68.webm,92.481,2726.763,2819.244
34,547,4fWY133vYDs,Kargin Haghordum sketch 179 (Hayko Mko),data\audio\547_Kargin_Haghordum_sketch_179_Hayko_Mko_4fWY133vYDs.webm,138.161,2819.244,2957.405
35,556,TDBsXssmjQk,Kargin Haghordum sketch 188 (Hayko Mko),data\audio\556_Kargin_Haghordum_sketch_188_Hayko_Mko_TDBsXssmjQk.webm,146.341,2957.405,3103.746
36,562,ipVYU1B3mTs,Kargin Haghordum sketch 197 (Hayko Mko),data\audio\562_Kargin_Haghordum_sketch_197_Hayko_Mko_ipVYU1B3mTs.webm,53.921,3103.746,3157.667
37,566,2311QdBFp4o,Kargin Haghordum sketch 401 (Hayko Mko),data\audio\566_Kargin_Haghordum_sketch_401_Hayko_Mko_2311QdBFp4o.webm,87.401,3157.667,3245.068
38,567,4SBSBGc4dcc,Kargin Haghordum sketch 402 (Hayko Mko),data\audio\567_Kargin_Haghordum_sketch_402_Hayko_Mko_4SBSBGc4dcc.webm,121.601,3245.068,3366.669
39,575,PxsWkmJXfZY,Kargin Haghordum sketch 426 (Hayko Mko),data\audio\575_Kargin_Haghordum_sketch_426_Hayko_Mko_PxsWkmJXfZY.webm,146.321,3366.669,3512.99
40,588,qjMR_AJZwLc,Kargin Haghordum sketch 439 (Hayko Mko),data\audio\588_Kargin_Haghordum_sketch_439_Hayko_Mko_qjMR_AJZwLc.webm,150.361,3512.99,3663.351
41,589,vYkDOl0_-vs,Kargin Haghordum sketch 440 (Hayko Mko),data\audio\589_Kargin_Haghordum_sketch_440_Hayko_Mko_vYkDOl0_-vs.webm,186.521,3663.351,3849.872
42,630,D1-SuteQWMs,Kargin Haghordum sketch 552 (Hayko Mko),data\audio\630_Kargin_Haghordum_sketch_552_Hayko_Mko_D1-SuteQWMs.webm,119.881,3849.872,3969.753
43,633,w1FPRUO_on4,Kargin Haghordum sketch 555 (Hayko Mko),data\audio\633_Kargin_Haghordum_sketch_555_Hayko_Mko_w1FPRUO_on4.webm,94.481,3969.753,4064.234
44,634,31-baXiIagE,Kargin Haghordum sketch 556 (Hayko Mko),data\audio\634_Kargin_Haghordum_sketch_556_Hayko_Mko_31-baXiIagE.webm,141.281,4064.234,4205.515
45,635,3lZpdy48GFI,Kargin Haghordum sketch 557 (Hayko Mko),data\audio\635_Kargin_Haghordum_sketch_557_Hayko_Mko_3lZpdy48GFI.webm,207.861,4205.515,4413.376
46,636,LTjzI3_hPaY,Kargin Haghordum sketch 558 (Hayko Mko),data\audio\636_Kargin_Haghordum_sketch_558_Hayko_Mko_LTjzI3_hPaY.webm,97.201,4413.376,4510.577
47,637,OA0SBQc8LcY,Kargin Haghordum sketch 559 (Hayko Mko),data\audio\637_Kargin_Haghordum_sketch_559_Hayko_Mko_OA0SBQc8LcY.webm,128.021,4510.577,4638.598
48,664,lAeG87Rui7M,Kargin Haghordum sketch 244 (Hayko Mko),data\audio\664_Kargin_Haghordum_sketch_244_Hayko_Mko_lAeG87Rui7M.webm,62.341,4638.598,4700.939
49,667,NLoJXXo_cSw,Kargin Haghordum sketch 247 (Hayko Mko),data\audio\667_Kargin_Haghordum_sketch_247_Hayko_Mko_NLoJXXo_cSw.webm,178.721,4700.939,4879.66
50,677,ebNV8X33pB0,Kargin Haghordum sketch 257 (Hayko Mko),data\audio\677_Kargin_Haghordum_sketch_257_Hayko_Mko_ebNV8X33pB0.webm,151.501,4879.66,5031.161
51,685,GYewdqQfAws,Kargin Haghordum sketch 265 (Hayko Mko),data\audio\685_Kargin_Haghordum_sketch_265_Hayko_Mko_GYewdqQfAws.webm,62.041,5031.161,5093.202
52,686,82r9vHp8k0Y,Kargin Haghordum sketch 266 (Hayko Mko),data\audio\686_Kargin_Haghordum_sketch_266_Hayko_Mko_82r9vHp8k0Y.webm,172.881,5093.202,5266.083
53,687,BCDNaGGDjAY,Kargin Haghordum - Hetapndum (Hayko Mko),data\audio\687_Kargin_Haghordum_-_Hetapndum_Hayko_Mko_BCDNaGGDjAY.webm,132.961,5266.083,5399.044
54,688,UhyVa3nczbg,Kargin Haghordum sketch 268 (Hayko Mko),data\audio\688_Kargin_Haghordum_sketch_268_Hayko_Mko_UhyVa3nczbg.webm,148.721,5399.044,5547.765
55,689,IsgF4_C3xjY,Kargin Haghordum sketch 269 (Hayko Mko),data\audio\689_Kargin_Haghordum_sketch_269_Hayko_Mko_IsgF4_C3xjY.webm,143.921,5547.765,5691.686
56,691,bHv-5tqagpU,Kargin Haghordum sketch 271 (Hayko Mko),data\audio\691_Kargin_Haghordum_sketch_271_Hayko_Mko_bHv-5tqagpU.webm,114.361,5691.686,5806.047
57,692,y1yeDFDTxy4,Kargin Haghordum sketch 272 (Hayko Mko),data\audio\692_Kargin_Haghordum_sketch_272_Hayko_Mko_y1yeDFDTxy4.webm,211.821,5806.047,6017.868
58,693,MBVthmBUQVg,Kargin Haghordum sketch 273 (Hayko Mko),data\audio\693_Kargin_Haghordum_sketch_273_Hayko_Mko_MBVthmBUQVg.webm,269.161,6017.868,6287.029
59,694,28WMu33SaYY,Kargin Haghordum sketch 274 (Hayko Mko),data\audio\694_Kargin_Haghordum_sketch_274_Hayko_Mko_28WMu33SaYY.m4a,132.029,6287.029,6419.058
60,696,2gZ-NK4GJZY,Kargin Haghordum - Sex mashni mech (Hayko Mko),data\audio\696_Kargin_Haghordum_-_Sex_mashni_mech_Hayko_Mko_2gZ-NK4GJZY.webm,86.481,6419.058,6505.539
