seq,id,video_id,title,audio_path,duration_sec,start_sec,end_sec
1,013,qgUcDdWTOqE,Kargin Haghordum sketch 301 (Hayko Mko),data\audio\013_Kargin_Haghordum_sketch_301_Hayko_Mko_qgUcDdWTOqE.webm,125.201,0.0,125.201
2,031,1kvduqCNtRM,Kargin Haghordum sketch 338 (Hayko Mko),data\audio\031_Kargin_Haghordum_sketch_338_Hayko_Mko_1kvduqCNtRM.webm,176.921,125.201,302.122
3,033,w1SgJqDb-DY,Kargin Haghordum sketch 340 (Hayko Mko),data\audio\033_Kargin_Haghordum_sketch_340_Hayko_Mko_w1SgJqDb-DY.webm,155.121,302.122,457.243
4,040,4P8_-hQAtIk,Kargin Haghordum sketch 605 (Hayko Mko),data\audio\040_Kargin_Haghordum_sketch_605_Hayko_Mko_4P8_-hQAtIk.webm,188.501,457.243,645.744
5,073,e_e7eL99pBU,Kargin Haghordum sketch 669 (Hayko Mko),data\audio\073_Kargin_Haghordum_sketch_669_Hayko_Mko_e_e7eL99pBU.webm,225.941,645.744,871.685
6,088,o4bvaRi-rmQ,Kargin Haghordum sketch 654 (Hayko Mko),data\audio\088_Kargin_Haghordum_sketch_654_Hayko_Mko_o4bvaRi-rmQ.webm,167.181,871.685,1038.866
7,094,fLkqwqJCaow,Kargin Haghordum sketch 635 (Hayko Mko),data\audio\094_Kargin_Haghordum_sketch_635_Hayko_Mko_fLkqwqJCaow.webm,238.861,1038.866,1277.727
8,105,cV4yqUdZS3k,Kargin Haghordum sketch 646 (Hayko Mko),data\audio\105_Kargin_Haghordum_sketch_646_Hayko_Mko_cV4yqUdZS3k.webm,139.421,1277.727,1417.148
9,110,8ZXHMEFAfNo,Kargin Haghordum sketch 699 (Hayko Mko),data\audio\110_Kargin_Haghordum_sketch_699_Hayko_Mko_8ZXHMEFAfNo.webm,219.421,1417.148,1636.569
10,138,Gm4Csg8_Z2I,Kargin Haghordum sketch 374 (Hayko Mko),data\audio\138_Kargin_Haghordum_sketch_374_Hayko_Mko_Gm4Csg8_Z2I.webm,110.121,1636.569,1746.69
11,143,0nskJNqqDdM,Kargin Haghordum sketch 379 (Hayko Mko),data\audio\143_Kargin_Haghordum_sketch_379_Hayko_Mko_0nskJNqqDdM.webm,210.461,1746.69,1957.151
12,198,2O9HN34yawo,Kargin Haghordum sketch 535 (Hayko Mko),data\audio\198_Kargin_Haghordum_sketch_535_Hayko_Mko_2O9HN34yawo.webm,132.061,1957.151,2089.212
13,218,PI6koCSkYTA,Kargin Haghordum sketch 398 (Hayko Mko),data\audio\218_Kargin_Haghordum_sketch_398_Hayko_Mko_PI6koCSkYTA.webm,168.481,2089.212,2257.693
14,221,6Yi4XMBeuRA,Kargin Haghordum - Karmir glxark (Hayko Mko),data\audio\221_Kargin_Haghordum_-_Karmir_glxark_Hayko_Mko_6Yi4XMBeuRA.webm,177.561,2257.693,2435.254
