seq,id,video_id,title,audio_path,duration_sec,start_sec,end_sec
15,230,75zxYmS3or8,Kargin Haghordum sketch 312 (Hayko Mko),data\audio\230_Kargin_Haghordum_sketch_312_Hayko_Mko_75zxYmS3or8.webm,130.881,2435.254,2566.135
16,312,vbWvlxJnC_w,Kargin Haghordum sketch 473 (Hayko Mko),data\audio\312_Kargin_Haghordum_sketch_473_Hayko_Mko_vbWvlxJnC_w.webm,187.821,2566.135,2753.956
17,333,DeOxiMRihZ0,Kargin Haghordum - Sumka (Hayko Mko),data\audio\333_Kargin_Haghordum_-_Sumka_Hayko_Mko_DeOxiMRihZ0.webm,109.601,2753.956,2863.557
18,370,9OIvv9v7fh8,Kargin Haghordum - Vaxo (Hayko Mko),data\audio\370_Kargin_Haghordum_-_Vaxo_Hayko_Mko_9OIvv9v7fh8.webm,193.681,2863.557,3057.238
19,389,iPCRAW_Jecc,Kargin Haghordum - Qyartush (Hayko Mko),data\audio\389_Kargin_Haghordum_-_Qyartush_Hayko_Mko_iPCRAW_Jecc.webm,109.641,3057.238,3166.879
20,455,iZWWe6T5hFI,Kargin Haghordum sketch 080 (Hayko Mko),data\audio\455_Kargin_Haghordum_sketch_080_Hayko_Mko_iZWWe6T5hFI.webm,180.081,3166.879,3346.96
21,478,v3BNi5Juk0Y,Kargin Haghordum sketch 106 (Hayko Mko),data\audio\478_Kargin_Haghordum_sketch_106_Hayko_Mko_v3BNi5Juk0Y.webm,130.961,3346.96,3477.921
22,487,AflDz3lCrhk,Kargin Haghordum sketch 115 (Hayko Mko),data\audio\487_Kargin_Haghordum_sketch_115_Hayko_Mko_AflDz3lCrhk.m4a,150.187,3477.921,3628.108
23,500,Cx4bMlneeh8,Kargin Haghordum sketch 128 (Hayko Mko),data\audio\500_Kargin_Haghordum_sketch_128_Hayko_Mko_Cx4bMlneeh8.webm,181.321,3628.108,3809.429
24,504,HW_cVMBa8bU,Kargin Haghordum sketch 132 (Hayko Mko),data\audio\504_Kargin_Haghordum_sketch_132_Hayko_Mko_HW_cVMBa8bU.webm,125.401,3809.429,3934.83
25,513,dwXDsd5eBsE,Kargin Haghordum sketch 143 (Hayko Mko),data\audio\513_Kargin_Haghordum_sketch_143_Hayko_Mko_dwXDsd5eBsE.webm,115.041,3934.83,4049.871
26,551,koteRzVQrM4,Kargin Haghordum sketch 183 (Hayko Mko),data\audio\551_Kargin_Haghordum_sketch_183_Hayko_Mko_koteRzVQrM4.webm,218.301,4049.871,4268.172
27,559,keoWCJkrdqs,Kargin Haghordum sketch 192 (Hayko Mko),data\audio\559_Kargin_Haghordum_sketch_191_Hayko_Mko_keoWCJkrdqs.webm,165.761,4268.172,4433.933
28,595,Edx0cGNBq_Q,Kargin Haghordum sketch 446 (Hayko Mko),data\audio\595_Kargin_Haghordum_sketch_446_Hayko_Mko_Edx0cGNBq_Q.webm,141.641,4433.933,4575.574
29,629,0vhomjPY064,Kargin Haghordum sketch 551 (Hayko Mko),data\audio\629_Kargin_Haghordum_sketch_551_Hayko_Mko_0vhomjPY064.webm,296.961,4575.574,4872.535
30,641,yDCiy6d_AoI,Kargin Haghordum sketch 584 (Hayko Mko),data\audio\641_Kargin_Haghordum_sketch_584_Hayko_Mko_yDCiy6d_AoI.webm,280.441,4872.535,5152.976
31,648,BKzC7Ph5FxM,Kargin Haghordum sketch 591 (Hayko Mko),data\audio\648_Kargin_Haghordum_sketch_591_Hayko_Mko_BKzC7Ph5FxM.webm,115.961,5152.976,5268.937
