verdict,corr,overlap_pct,lag_sec,ber,offset_frames,video_id_a,video_id_b,canonical,compilation,included_sketch,url_a,url_b,title_a,title_b,duration_a,duration_b,views_a,views_b,upload_a,upload_b
duplicate,0.9948,100.0,0.008,0.0685,0,Y4EO-zo7DDM,YP4Q6dkI_0o,YP4Q6dkI_0o,,,https://www.youtube.com/watch?v=Y4EO-zo7DDM&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=87&t=0s,https://www.youtube.com/watch?v=YP4Q6dkI_0o&list=PLC4FFB3F0AFB8146C&index=110&t=0s,Kargin Haghordum sketch 286 (Hayko Mko),Kargin Haghordum sketch 109 (Hayko Mko),177.0,177.0,152890.0,662236.0,20121228.0,20120628.0
duplicate,0.9911,100.0,0.008,0.0692,0,75zxYmS3or8,v3BNi5Juk0Y,v3BNi5Juk0Y,,,https://www.youtube.com/watch?v=75zxYmS3or8&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=113&t=0s,https://www.youtube.com/watch?v=v3BNi5Juk0Y&list=PLC4FFB3F0AFB8146C&index=107&t=0s,Kargin Haghordum sketch 312 (Hayko Mko),Kargin Haghordum sketch 106 (Hayko Mko),131.0,131.0,99433.0,210823.0,20121228.0,20120628.0
duplicate,0.8531,87.5,0.008,0.0701,0,upv-Sbiitss,yzBeTsyR8ys,yzBeTsyR8ys,,,https://www.youtube.com/watch?v=upv-Sbiitss&list=PLC4FFB3F0AFB8146C&index=141&t=0s,https://www.youtube.com/watch?v=yzBeTsyR8ys&list=PLC4FFB3F0AFB8146C&index=128&t=0s,Kargin Haghordum sketch 140 (Hayko Mko),Kargin Haghordum sketch 127 (Hayko Mko),207.0,207.0,44679.0,60728.0,20121227.0,20120628.0
duplicate,0.9968,100.0,0.008,0.0818,0,64W5De5fdts,be_Bps_kR2M,64W5De5fdts,,,https://www.youtube.com/watch?v=64W5De5fdts&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=172&t=0s,https://www.youtube.com/watch?v=be_Bps_kR2M&list=PLC4FFB3F0AFB8146C&index=117&t=0s,Kargin Haghordum sketch 571 (Hayko Mko),Kargin Haghordum sketch 116 (Hayko Mko),152.0,152.0,125572.0,80869.0,20121229.0,20120628.0
duplicate,0.9916,100.0,-0.008,0.0893,0,Y6B0evY1AnM,ebNV8X33pB0,Y6B0evY1AnM,,,https://www.youtube.com/watch?v=Y6B0evY1AnM&list=PLC4FFB3F0AFB8146C&index=112&t=0s,https://www.youtube.com/watch?v=ebNV8X33pB0&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=58&t=0s,Kargin Haghordum sketch 111 (Hayko Mko),Kargin Haghordum sketch 257 (Hayko Mko),152.0,152.0,94722.0,55518.0,20120628.0,20121228.0
duplicate,0.9871,100.0,-0.008,0.1035,0,4om4XkM1oFw,wzPFKJHpNMs,4om4XkM1oFw,,,https://www.youtube.com/watch?v=4om4XkM1oFw&list=PLC4FFB3F0AFB8146C&index=115&t=0s,https://www.youtube.com/watch?v=wzPFKJHpNMs&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=169&t=0s,Kargin Haghordum sketch 114 (Hayko Mko),Kargin Haghordum sketch 568 (Hayko Mko),100.0,100.0,116043.0,92400.0,20120628.0,20121228.0
duplicate,0.9907,100.0,-0.615,0.1614,-5,OPiH_zBJTA0,bVP8dzuxVkY,OPiH_zBJTA0,,,https://www.youtube.com/watch?v=OPiH_zBJTA0&list=PLDDuEZQEC_uBeOx5OzaaKZtqjLvC0hO9g&index=98&t=0s,https://www.youtube.com/watch?v=bVP8dzuxVkY&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=53&t=0s,Kargin Haghordum sketch 680 (Hayko Mko),Kargin Haghordum sketch 452 (Hayko Mko),146.0,146.0,355169.0,103121.0,20130411.0,20121228.0
duplicate,0.9848,100.0,0.028,0.1713,0,AflDz3lCrhk,uObBR5ju488,uObBR5ju488,,,https://www.youtube.com/watch?v=AflDz3lCrhk&list=PLC4FFB3F0AFB8146C&index=116&t=0s,https://www.youtube.com/watch?v=uObBR5ju488&list=PLC4FFB3F0AFB8146C&index=130&t=0s,Kargin Haghordum sketch 115 (Hayko Mko),Kargin Haghordum sketch 129 (Hayko Mko),151.0,151.0,100299.0,379224.0,20120628.0,20121227.0
partial,0.6636,75.0,0.006,0.179,0,2T3Et10cvcg,mV2TGpdDfvE,mV2TGpdDfvE,,,https://www.youtube.com/watch?v=2T3Et10cvcg&list=PLC4FFB3F0AFB8146C&index=105&t=0s,https://www.youtube.com/watch?v=mV2TGpdDfvE&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=7&t=0s,Kargin Haghordum sketch 104 (Hayko Mko),Kargin Haghordum sketch 206 (Hayko Mko),115.0,115.0,317134.0,482728.0,20120618.0,20121227.0
partial,0.3086,50.0,0.0,0.1901,0,2nLtQ6V0QZw,Jbh5eTLRTlI,Jbh5eTLRTlI,,,https://www.youtube.com/watch?v=2nLtQ6V0QZw&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=82&t=0s,https://www.youtube.com/watch?v=Jbh5eTLRTlI&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=83&t=0s,Kargin Haghordum sketch 281 (Hayko Mko),Kargin Haghordum sketch 282 (Hayko Mko),139.0,253.0,62221.0,163606.0,20121228.0,20121228.0
duplicate,0.9873,100.0,-0.036,0.2145,0,B5unjOI-5PA,I9hW_hYRLCI,B5unjOI-5PA,,,https://www.youtube.com/watch?v=B5unjOI-5PA&list=PLDDuEZQEC_uBeOx5OzaaKZtqjLvC0hO9g&index=37&t=0s,https://www.youtube.com/watch?v=I9hW_hYRLCI&list=PLDDuEZQEC_uBeOx5OzaaKZtqjLvC0hO9g&index=59&t=0s,Kargin Haghordum sketch 671 (Hayko Mko),Kargin Haghordum sketch 634 (Hayko Mko),181.0,181.0,493486.0,24710.0,20130410.0,20130410.0
contains,0.9617,100.0,3.8,0.2273,30,3UZOwmPovQ4,kKDydl5jRAY,kKDydl5jRAY,3UZOwmPovQ4,kKDydl5jRAY,https://www.youtube.com/watch?v=3UZOwmPovQ4&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=29&t=0s,https://www.youtube.com/watch?v=kKDydl5jRAY&list=PLC4FFB3F0AFB8146C&index=168&t=0s,Kargin Haghordum sketch 228 (Hayko Mko),Kargin Haghordum sketch 167 (Hayko Mko),1068.0,284.0,3041183.0,131848.0,20121228.0,20121227.0
duplicate,0.9196,100.0,-3.752,0.2394,-29,6Yi4XMBeuRA,Cx4bMlneeh8,6Yi4XMBeuRA,,,https://www.youtube.com/watch?v=6Yi4XMBeuRA&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=104&t=0s,https://www.youtube.com/watch?v=Cx4bMlneeh8&list=PLC4FFB3F0AFB8146C&index=129&t=0s,Kargin Haghordum - Karmir glxark (Hayko Mko),Kargin Haghordum sketch 128 (Hayko Mko),178.0,182.0,1406704.0,41903.0,20121228.0,20120628.0
duplicate,0.8633,100.0,3.792,0.2621,30,A2TJpch1-tw,MQ3EYYJk3tA,MQ3EYYJk3tA,,,https://www.youtube.com/watch?v=A2TJpch1-tw&list=PLC4FFB3F0AFB8146C&index=114&t=0s,https://www.youtube.com/watch?v=MQ3EYYJk3tA&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=188&t=0s,Kargin Haghordum sketch 113 (Hayko Mko),Kargin Haghordum sketch 387 (Hayko Mko),197.0,194.0,197668.0,219181.0,20120628.0,20121228.0
duplicate,0.8929,100.0,3.792,0.2697,30,1knVCwhPp4A,C9Y8rmQIsU8,C9Y8rmQIsU8,,,https://www.youtube.com/watch?v=1knVCwhPp4A&list=PLC4FFB3F0AFB8146C&index=121&t=0s,https://www.youtube.com/watch?v=C9Y8rmQIsU8&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=186&t=0s,Kargin Haghordum sketch 120 (Hayko Mko),Kargin Haghordum - Gyozen dnum (Hayko Mko),296.0,292.0,185635.0,607526.0,20120628.0,20121228.0
duplicate,0.9629,100.0,3.792,0.2706,30,0iKAm_aZ7Og,kKDydl5jRAY,0iKAm_aZ7Og,,,https://www.youtube.com/watch?v=0iKAm_aZ7Og&list=PLC4FFB3F0AFB8146C&index=118&t=0s,https://www.youtube.com/watch?v=kKDydl5jRAY&list=PLC4FFB3F0AFB8146C&index=168&t=0s,Kargin Haghordum sketch 117 (Hayko Mko),Kargin Haghordum sketch 167 (Hayko Mko),288.0,284.0,377630.0,131848.0,20120628.0,20121227.0
duplicate,0.9378,100.0,-3.792,0.2965,-30,HlgdRBKwBM0,rktRofsEmtg,HlgdRBKwBM0,,,https://www.youtube.com/watch?v=HlgdRBKwBM0&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=88&t=0s,https://www.youtube.com/watch?v=rktRofsEmtg&list=PLC4FFB3F0AFB8146C&index=111&t=0s,Kargin Haghordum sketch 487 (Hayko Mko),Kargin Haghordum sketch 110 (Hayko Mko),199.0,203.0,1043220.0,236188.0,20121228.0,20120628.0
duplicate,0.8839,100.0,3.908,0.3292,31,379BAt3RevQ,5LRCQjkTqP0,379BAt3RevQ,,,https://www.youtube.com/watch?v=379BAt3RevQ&list=PLC4FFB3F0AFB8146C&index=125&t=0s,https://www.youtube.com/watch?v=5LRCQjkTqP0&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=93&t=0s,Kargin Haghordum sketch 124 (Hayko Mko),Kargin Haghordum sketch 492 (Hayko Mko),226.0,222.0,466325.0,257930.0,20120628.0,20121228.0
rejected,0.131,12.5,0.0,0.3594,0,1kvduqCNtRM,hBNHfoPXyME,hBNHfoPXyME,,,https://www.youtube.com/watch?v=1kvduqCNtRM&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=139&t=0s,https://www.youtube.com/watch?v=hBNHfoPXyME&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=25&t=0s,Kargin Haghordum sketch 338 (Hayko Mko),Kargin Haghordum sketch 424 (Hayko Mko),177.0,240.0,1305381.0,3514700.0,20121228.0,20121228.0
partial,0.1575,40.0,3.96,0.3751,31,cIU6H6DTLr8,ipVYU1B3mTs,cIU6H6DTLr8,,,https://www.youtube.com/watch?v=cIU6H6DTLr8&list=PLC4FFB3F0AFB8146C&index=164&t=0s,https://www.youtube.com/watch?v=ipVYU1B3mTs&list=PLC4FFB3F0AFB8146C&index=198&t=0s,Kargin Haghordum sketch 163 (Hayko Mko),Kargin Haghordum sketch 197 (Hayko Mko),145.0,54.0,784623.0,120060.0,20121227.0,20121227.0
partial,0.166,12.5,0.0,0.3973,0,088OKSJV3QE,fNXg8Cs7ifY,fNXg8Cs7ifY,,,https://www.youtube.com/watch?v=088OKSJV3QE&list=PLC4FFB3F0AFB8146C&index=169&t=0s,https://www.youtube.com/watch?v=fNXg8Cs7ifY&list=PLDDuEZQEC_uDcYhabzxMCFCs3vGGSGVX4&index=61&t=0s,Kargin Haghordum sketch 168 (Hayko Mko),Kargin Haghordum sketch 260 (Hayko Mko),118.0,198.0,344178.0,619655.0,20121227.0,20121228.0
