seq,id,video_id,title,audio_path,duration_sec,start_sec,end_sec
1,535,SlLwcM9y00w,Kargin Haghordum sketch 169 (Hayko Mko),data\audio\535_Kargin_Haghordum_sketch_169_Hayko_Mko_SlLwcM9y00w.webm,104.481,0.0,104.481
2,536,t79x_fKiVEk,Kargin Haghordum sketch 170 (Hayko Mko),data\audio\536_Kargin_Haghordum_sketch_170_Hayko_Mko_t79x_fKiVEk.webm,257.601,104.481,362.082
3,538,fCpr6SFJQsE,Kargin Haghordum sketch 171 (Hayko Mko),data\audio\538_Kargin_Haghordum_sketch_171_Hayko_Mko_fCpr6SFJQsE.webm,201.361,362.082,563.443
4,539,16m0-82_Igs,Kargin Haghordum sketch 172 (Hayko Mko),data\audio\539_Kargin_Haghordum_sketch_172_Hayko_Mko_16m0-82_Igs.webm,224.121,563.443,787.564
5,540,41OefT1qctA,Kargin Haghordum sketch 172 (Hayko Mko),data\audio\540_Kargin_Haghordum_sketch_172_Hayko_Mko_41OefT1qctA.webm,121.721,787.564,909.285
6,546,3DXxAzfrU40,Kargin Haghordum sketch 178 (Hayko Mko),data\audio\546_Kargin_Haghordum_sketch_178_Hayko_Mko_3DXxAzfrU40.webm,269.721,909.285,1179.006
7,564,BJnORz1WFMo,Kargin Haghordum sketch 199 (Hayko Mko),data\audio\564_Kargin_Haghordum_sketch_199_Hayko_Mko_BJnORz1WFMo.webm,259.161,1179.006,1438.167
8,577,7-ecmDcVc08,Kargin Haghordum sketch 428 (Hayko Mko),data\audio\577_Kargin_Haghordum_sketch_428_Hayko_Mko_7-ecmDcVc08.webm,186.981,1438.167,1625.148
9,578,RcTQt_nnpbA,Kargin Haghordum sketch 429 (Hayko Mko),data\audio\578_Kargin_Haghordum_sketch_429_Hayko_Mko_RcTQt_nnpbA.webm,228.621,1625.148,1853.769
10,579,sSIXTq8KlTw,Kargin Haghordum sketch 430 (Hayko Mko),data\audio\579_Kargin_Haghordum_sketch_430_Hayko_Mko_sSIXTq8KlTw.webm,167.881,1853.769,2021.65
11,580,T9eF1pzS0Gw,Kargin Haghordum sketch 431 (Hayko Mko),data\audio\580_Kargin_Haghordum_sketch_431_Hayko_Mko_T9eF1pzS0Gw.webm,180.621,2021.65,2202.271
12,581,SWF0HecSwYA,Kargin Haghordum sketch 432 (Hayko Mko),data\audio\581_Kargin_Haghordum_sketch_432_Hayko_Mko_SWF0HecSwYA.webm,232.521,2202.271,2434.792
13,582,d3AsbzNxb5c,Kargin Haghordum sketch 433 (Hayko Mko),data\audio\582_Kargin_Haghordum_sketch_433_Hayko_Mko_d3AsbzNxb5c.webm,182.541,2434.792,2617.333
14,583,Ib9yBOygb0w,Kargin Haghordum sketch 434 (Hayko Mko),data\audio\583_Kargin_Haghordum_sketch_434_Hayko_Mko_Ib9yBOygb0w.webm,131.241,2617.333,2748.574
15,584,BpMQ8COre60,Kargin Haghordum sketch 435 (Hayko Mko),data\audio\584_Kargin_Haghordum_sketch_435_Hayko_Mko_BpMQ8COre60.webm,122.961,2748.574,2871.535
16,586,CkZ0ApWf49s,Kargin Haghordum sketch 437 (Hayko Mko),data\audio\586_Kargin_Haghordum_sketch_437_Hayko_Mko_CkZ0ApWf49s.webm,235.181,2871.535,3106.716
17,587,WVWD4XSgcgs,Kargin Haghordum sketch 438 (Hayko Mko),data\audio\587_Kargin_Haghordum_sketch_438_Hayko_Mko_WVWD4XSgcgs.webm,232.301,3106.716,3339.017
18,681,rErcpknoD_4,Kargin Haghordum sketch 261 (Hayko Mko),data\audio\681_Kargin_Haghordum_sketch_261_Hayko_Mko_rErcpknoD_4.webm,207.341,3339.017,3546.358
19,682,-jCLqYZVTFQ,Kargin Haghordum sketch 262 (Hayko Mko),data\audio\682_Kargin_Haghordum_sketch_262_Hayko_Mko_-jCLqYZVTFQ.webm,220.841,3546.358,3767.199
20,684,KK74n_-aNMc,Kargin Haghordum - Viselskiy (Hayko Mko),data\audio\684_Kargin_Haghordum_-_Viselskiy_Hayko_Mko_KK74n_-aNMc.webm,120.121,3767.199,3887.32
21,690,KhxmtcSkGsY,Kargin Haghordum sketch 270 (Hayko Mko),data\audio\690_Kargin_Haghordum_sketch_270_Hayko_Mko_KhxmtcSkGsY.webm,40.241,3887.32,3927.561
22,697,5RRWJBCoZ-E,Kargin Haghordum sketch 413 (Hayko Mko),data\audio\697_Kargin_Haghordum_sketch_413_Hayko_Mko_5RRWJBCoZ-E.webm,254.221,3927.561,4181.782
23,698,6ugcn6nGbek,Kargin Haghordum sketch 411 (Hayko Mko),data\audio\698_Kargin_Haghordum_sketch_411_Hayko_Mko_6ugcn6nGbek.webm,268.321,4181.782,4450.103
24,699,aUAgkYQ9usg,Kargin Haghordum sketch 560 (Hayko Mko),data\audio\699_Kargin_Haghordum_sketch_560_Hayko_Mko_aUAgkYQ9usg.webm,120.321,4450.103,4570.424
25,701,yFLpnsZX3OI,Kargin Haghordum sketch 404 (Hayko Mko),data\audio\701_Kargin_Haghordum_sketch_404_Hayko_Mko_yFLpnsZX3OI.webm,149.941,4570.424,4720.365
26,702,hp0U2719O0A,Kargin Haghordum sketch 672 (Hayko Mko),data\audio\702_Kargin_Haghordum_sketch_672_Hayko_Mko_hp0U2719O0A.webm,175.521,4720.365,4895.886
